,non_covid_training_set,covid_training_set,non_covid_eval_set,covid_eval_set,all_visits
N(visits),4670.0,4670.0,4670.0,4670.0,1573113.0
N(patients),4606.0,4178.0,4592.0,4137.0,434152.0
N_2020-02-01,159.0,< 10,162.0,< 10,58627.0
%_2020-02-01,0.03404710920770880,< 0.21%,0.03468950749464670,< 0.21%,0.03726814284797090
N_2020-03-01,151.0,416.0,148.0,425.0,50069.0
%_2020-03-01,0.03233404710920770,0.08907922912205570,0.03169164882226980,0.09100642398286940,0.031827974214185500
N_2020-04-01,75.0,854.0,60.0,840.0,25857.0
%_2020-04-01,0.016059957173447500,0.1828693790149890,0.01284796573875800,0.17987152034261200,0.016436835751786400
N_2020-05-01,117.0,275.0,106.0,275.0,37202.0
%_2020-05-01,0.025053533190578200,0.058886509635974300,0.022698072805139200,0.058886509635974300,0.023648650796223800
N_2020-06-01,176.0,211.0,187.0,181.0,59374.0
%_2020-06-01,0.037687366167023600,0.04518201284796570,0.040042826552462500,0.038758029978586700,0.037742997483334
N_2020-07-01,191.0,186.0,187.0,208.0,65739.0
%_2020-07-01,0.040899357601713100,0.039828693790149900,0.040042826552462500,0.04453961456102780,0.041789114958683800
N_2020-08-01,185.0,187.0,189.0,191.0,65999.0
%_2020-08-01,0.03961456102783730,0.040042826552462500,0.040471092077087800,0.040899357601713100,0.04195439234180890
N_2020-09-01,200.0,127.0,206.0,186.0,67833.0
%_2020-09-01,0.042826552462526800,0.027194860813704500,0.04411134903640260,0.039828693790149900,0.04312023357508330
N_2020-10-01,242.0,190.0,228.0,196.0,79948.0
%_2020-10-01,0.05182012847965740,0.04068522483940040,0.048822269807280500,0.04197002141327620,0.050821523946467900
N_2020-11-01,220.0,208.0,216.0,234.0,74831.0
%_2020-11-01,0.047109207708779400,0.04453961456102780,0.04625267665952890,0.050107066381156300,0.04756873791011830
N_2020-12-01,221.0,339.0,237.0,297.0,70401.0
%_2020-12-01,0.04732334047109210,0.07259100642398290,0.05074946466809420,0.06359743040685220,0.044752665574564600
N_2021-01-01,206.0,357.0,206.0,366.0,67593.0
%_2021-01-01,0.04411134903640260,0.07644539614561030,0.04411134903640260,0.07837259100642400,0.042967669836814000
N_2021-02-01,161.0,300.0,184.0,301.0,62744.0
%_2021-02-01,0.034475374732334000,0.06423982869379020,0.039400428265524600,0.06445396145610280,0.03988524664153180
N_2021-03-01,247.0,295.0,220.0,289.0,81348.0
%_2021-03-01,0.052890792291220600,0.06316916488222700,0.047109207708779400,0.06188436830835120,0.05171147908637210
N_2021-04-01,214.0,135.0,220.0,123.0,74489.0
%_2021-04-01,0.04582441113490360,0.028907922912205600,0.047109207708779400,0.026338329764454000,0.047351334583084600
N_2021-05-01,178.0,41.0,191.0,44.0,66782.0
%_2021-05-01,0.038115631691648800,0.008779443254817990,0.040899357601713100,0.009421841541755890,0.042452131537912400
N_2021-06-01,251.0,21.0,224.0,30.0,76091.0
%_2021-06-01,0.053747323340471100,0.004496788008565310,0.04796573875803000,0.006423982869379020,0.04836969753603210
N_2021-07-01,232.0,21.0,210.0,27.0,73954.0
%_2021-07-01,0.04967880085653110,0.004496788008565310,0.044967880085653100,0.005781584582441110,0.04701124458319270
N_2021-08-01,229.0,32.0,227.0,19.0,75266.0
%_2021-08-01,0.04903640256959320,0.006852248394004280,0.04860813704496790,0.004068522483940040,0.04784525968573140
N_2021-09-01,227.0,32.0,226.0,32.0,71980.0
%_2021-09-01,0.04860813704496790,0.006852248394004280,0.048394004282655200,0.006852248394004280,0.04575640783592790
N_2021-10-01,211.0,27.0,233.0,24.0,73793.0
%_2021-10-01,0.04518201284796570,0.005781584582441110,0.049892933618843700,0.005139186295503210,0.046908899742103700
N_2021-11-01,154.0,41.0,164.0,56.0,52130.0
%_2021-11-01,0.03297644539614560,0.008779443254817990,0.03511777301927200,0.011991434689507500,0.03313811531657290
N_2021-12-01,158.0,117.0,162.0,103.0,49074.0
%_2021-12-01,0.033832976445396100,0.025053533190578200,0.03468950749464670,0.022055674518201300,0.031195470382610800
N_2022-01-01,127.0,168.0,115.0,159.0,41889.0
%_2022-01-01,0.027194860813704500,0.035974304068522500,0.02462526766595290,0.03404710920770880,0.02662809346817430
N_2022-02-01,110.0,73.0,123.0,55.0,40862.0
%_2022-02-01,0.023554603854389700,0.01563169164882230,0.026338329764454000,0.011777301927194900,0.025975247804830300
N_2022-03-01,25.0,10.0,32.0,< 10,7947.0
%_2022-03-01,0.0053533190578158500,0.0021413276231263400,0.006852248394004280,< 0.21%,0.005051766783441500
