,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N(visits),4670.0,4670.0,4670.0,4670.0,1573113.0
N(patients),4606.0,4178.0,4592.0,4137.0,434152.0
N_2020-02-01,159.0,6.0,162.0,1.0,58627.0
%_2020-02-01,0.03404710920770878,0.001284796573875803,0.03468950749464668,0.00021413276231263382,0.03726814284797087
N_2020-03-01,151.0,416.0,148.0,425.0,50069.0
%_2020-03-01,0.03233404710920771,0.08907922912205568,0.03169164882226981,0.09100642398286937,0.031827974214185505
N_2020-04-01,75.0,854.0,60.0,840.0,25857.0
%_2020-04-01,0.016059957173447537,0.1828693790149893,0.01284796573875803,0.17987152034261242,0.016436835751786425
N_2020-05-01,117.0,275.0,106.0,275.0,37202.0
%_2020-05-01,0.025053533190578157,0.058886509635974305,0.022698072805139188,0.058886509635974305,0.023648650796223792
N_2020-06-01,176.0,211.0,187.0,181.0,59374.0
%_2020-06-01,0.037687366167023555,0.04518201284796574,0.040042826552462524,0.038758029978586725,0.037742997483334
N_2020-07-01,191.0,186.0,187.0,208.0,65739.0
%_2020-07-01,0.040899357601713066,0.039828693790149895,0.040042826552462524,0.04453961456102784,0.041789114958683836
N_2020-08-01,185.0,187.0,189.0,191.0,65999.0
%_2020-08-01,0.03961456102783726,0.040042826552462524,0.040471092077087795,0.040899357601713066,0.04195439234180889
N_2020-09-01,200.0,127.0,206.0,186.0,67833.0
%_2020-09-01,0.042826552462526764,0.027194860813704497,0.04411134903640257,0.039828693790149895,0.04312023357508329
N_2020-10-01,242.0,190.0,228.0,196.0,79948.0
%_2020-10-01,0.05182012847965739,0.04068522483940043,0.048822269807280515,0.04197002141327623,0.050821523946467925
N_2020-11-01,220.0,208.0,216.0,234.0,74831.0
%_2020-11-01,0.047109207708779445,0.04453961456102784,0.04625267665952891,0.050107066381156314,0.04756873791011834
N_2020-12-01,221.0,339.0,237.0,297.0,70401.0
%_2020-12-01,0.04732334047109208,0.07259100642398288,0.05074946466809422,0.06359743040685224,0.044752665574564574
N_2021-01-01,206.0,357.0,206.0,366.0,67593.0
%_2021-01-01,0.04411134903640257,0.07644539614561027,0.04411134903640257,0.07837259100642398,0.042967669836814014
N_2021-02-01,161.0,300.0,184.0,301.0,62744.0
%_2021-02-01,0.034475374732334044,0.06423982869379015,0.039400428265524624,0.06445396145610278,0.03988524664153179
N_2021-03-01,247.0,295.0,220.0,289.0,81348.0
%_2021-03-01,0.052890792291220554,0.06316916488222699,0.047109207708779445,0.06188436830835118,0.05171147908637205
N_2021-04-01,214.0,135.0,220.0,123.0,74489.0
%_2021-04-01,0.04582441113490364,0.028907922912205567,0.047109207708779445,0.026338329764453963,0.047351334583084624
N_2021-05-01,178.0,41.0,191.0,44.0,66782.0
%_2021-05-01,0.038115631691648826,0.008779443254817988,0.040899357601713066,0.009421841541755889,0.042452131537912406
N_2021-06-01,251.0,21.0,224.0,30.0,76091.0
%_2021-06-01,0.053747323340471095,0.004496788008565311,0.04796573875802998,0.006423982869379015,0.04836969753603206
N_2021-07-01,232.0,21.0,210.0,27.0,73954.0
%_2021-07-01,0.04967880085653105,0.004496788008565311,0.044967880085653104,0.005781584582441114,0.04701124458319269
N_2021-08-01,229.0,32.0,227.0,19.0,75266.0
%_2021-08-01,0.04903640256959315,0.006852248394004282,0.04860813704496788,0.004068522483940043,0.04784525968573141
N_2021-09-01,227.0,32.0,226.0,32.0,71980.0
%_2021-09-01,0.04860813704496788,0.006852248394004282,0.048394004282655244,0.006852248394004282,0.04575640783592787
N_2021-10-01,211.0,27.0,233.0,24.0,73793.0
%_2021-10-01,0.04518201284796574,0.005781584582441114,0.049892933618843685,0.005139186295503212,0.046908899742103716
N_2021-11-01,154.0,41.0,164.0,56.0,52130.0
%_2021-11-01,0.03297644539614561,0.008779443254817988,0.03511777301927195,0.011991434689507495,0.03313811531657294
N_2021-12-01,158.0,117.0,162.0,103.0,49074.0
%_2021-12-01,0.033832976445396144,0.025053533190578157,0.03468950749464668,0.022055674518201285,0.031195470382610786
N_2022-01-01,127.0,168.0,115.0,159.0,41889.0
%_2022-01-01,0.027194860813704497,0.035974304068522485,0.02462526766595289,0.03404710920770878,0.02662809346817425
N_2022-02-01,110.0,73.0,123.0,55.0,40862.0
%_2022-02-01,0.023554603854389723,0.01563169164882227,0.026338329764453963,0.011777301927194861,0.025975247804830296
N_2022-03-01,25.0,10.0,32.0,6.0,7947.0
%_2022-03-01,0.0053533190578158455,0.0021413276231263384,0.006852248394004282,0.001284796573875803,0.005051766783441495
