feature,importance,wasserstein_distance_training,wasserstein_distance_eval,wasserstein_distance_all_visits
R06,0.0649843132368545,0.4794063587673623,0.4867913523226333,0.5773468834416597
R09,0.0628085236883957,0.4740537520684438,0.4634110076256961,0.5460235898379178
2020-04-01,0.0543317626925099,0.46144822318959333,0.46068313192770277,0.4918015711015858
R05,0.0259334693934966,0.46390306192007064,0.45051637705637837,0.5819132381768355
J12,0.0235953053398881,0.5072102319237812,0.48753233954133485,0.7041065800384403
Z01,0.0233502678941372,0.3325201496786742,0.3509556228603244,0.5100626010371773
Z94,0.0228807322878005,0.33956118955520004,0.3600256238606293,0.49649474669576454
R50,0.0195409767063966,0.4597028280294755,0.44315681251951006,0.5776739606796268
J96,0.0176263468116124,0.5071974180114802,0.49769628163806123,0.6564460893976425
WHITE,0.0148443510716948,-0.061517880933313375,-0.06469938887129104,-0.010399471085639315
2021-06-01,0.0147883884209252,-0.4302678546415819,-0.4129508534556254,-0.2346991003931662
HISPANIC OR LATINO OR SPANISH ORIGIN,0.0141370027054598,0.10300595117815056,0.10127729544375556,0.04194082439931307
sex_1,0.0141317815929504,-0.07715673733374727,-0.08671997956328865,-0.026894651404780756
2021-07-01,0.0130448499071771,-0.42617797669797697,-0.4107760796776743,-0.22364937697958215
2021-08-01,0.0126223283819408,-0.38567756064106257,-0.4204124370491601,-0.2050515060934025
2021-09-01,0.0116848470918124,-0.3882012761509757,-0.37818720307018366,-0.22080747386720032
2020-02-01,0.0115239790004676,-0.43970577598274546,-0.36592268409553314,-0.14350733641160235
2021-10-01,0.011239453534283,-0.3967794844079746,-0.41470586749876065,-0.22274032988552853
E11,0.0105768515929474,0.41878006258699324,0.4202072476656004,0.5125329660885699
N17,0.0103766726703722,0.4830927257885591,0.48041375262256747,0.5991613305889733
I10,0.0102273811519233,0.3383114369245772,0.35911641311854076,0.4084329712717056
R07,0.0099049303136994,0.32868978300615254,0.3206511617409565,0.40582909935051364
