category,phenotype,phe_code,"all_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)","new_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)"
circulatory system,Rheumatic disease of the heart valves,394.0,"[394.0, 553.0, 525181.0, 4.42095299475474, 1.9724626063872144, 9.90884456746657, 3260.746352973226]","[394.0, 553.0, 521351.0, 4.447158863466058, 1.9849370874957488, 9.963651785989954, 3470.277834155229]"
circulatory system,Mitral valve disease,394.2,"[394.2, 20638.0, 522069.0, 5.653720114488803, 4.889523002428714, 6.537355712837004, 1.4768571604007446e+120]","[394.2, 20638.0, 486816.0, 6.0407976138921775, 5.2266523173817925, 6.981760713382428, 1.7355072507726215e+130]"
circulatory system,Aortic valve disease,394.3,"[394.3, 9337.0, 523600.0, 5.173913355282022, 4.231457468204343, 6.3262787370814575, 1.0886098915801164e+57]","[394.3, 9337.0, 506457.0, 5.238246667829152, 4.286069844825678, 6.401955438535141, 1.39809138410929e+58]"
circulatory system,Acute rheumatic heart disease,394.4,"[394.4, 685.0, 525213.0, 7.159544284441812, 2.759451199593653, 18.57582202157865, 19242.726907240063]","[394.4, 685.0, 523249.0, 7.183896783888596, 2.7691701971916864, 18.6367645635876, 19868.797573554864]"
circulatory system,Disease of tricuspid valve,394.7,"[394.7, 6255.0, 524571.0, 1.5030299249848982, 1.0790756846335818, 2.0935500517437973, 62.701886064168946]","[394.7, 6255.0, 518800.0, 1.5213313442326666, 1.0923859977399772, 2.1187099282974198, 76.72461443484231]"
circulatory system,Heart valve disorders,395.0,"[395.0, 50.0, 525280.0, 10.665939087495522, 0.489124747070337, 232.58331805854343, 7.560266148763814]","[395.0, 50.0, 524433.0, 10.705176984266558, 0.4909714765309924, 233.41644014473883, 7.595361343794968]"
circulatory system,Nonrheumatic mitral valve disorders,395.1,"[395.1, 17365.0, 522385.0, 5.682539447401938, 4.876855279157483, 6.621327212493726, 1.4277115950867754e+109]","[395.1, 17365.0, 488358.0, 6.056265582386522, 5.200151686498607, 7.053323636621841, 9.170547338775605e+117]"
circulatory system,Nonrheumatic aortic valve disorders,395.2,"[395.2, 2508.0, 524861.0, 5.131523116258153, 3.4390876648243687, 7.656835782939126, 867494352860085.6]","[395.2, 2508.0, 517004.0, 5.129688861513628, 3.439829352513673, 7.649713145423364, 938984110535574.4]"
circulatory system,Nonrheumatic tricuspid valve disorders,395.3,"[395.3, 4327.0, 524515.0, 28.991168193923865, 21.589980529385237, 38.92953178463637, 1.9487518532716147e+110]","[395.3, 4327.0, 505354.0, 31.06541792414759, 23.139022919880954, 41.70704156971012, 9.045658229904189e+114]"
circulatory system,Nonrheumatic pulmonary valve disorders,395.4,"[395.4, 1387.0, 525037.0, 1.0335225675926047, 0.5810255948998921, 1.8384196963083024, 1.0981088729788777]","[395.4, 1387.0, 512522.0, 1.0477367111872244, 0.5895493966085251, 1.8620190645337136, 1.1445410591765035]"
