category,phenotype,phe_code,all_7_days_mwu_stat,all_7_days_pvalue,all_7_days_c_pvalue,all_14_days_mwu_stat,all_14_days_pvalue,all_14_days_c_pvalue,all_21_days_mwu_stat,all_21_days_pvalue,all_21_days_c_pvalue,all_28_days_mwu_stat,all_28_days_pvalue,all_28_days_c_pvalue,all_3_months_mwu_stat,all_3_months_pvalue,all_3_months_c_pvalue,all_6_months_mwu_stat,all_6_months_pvalue,all_6_months_c_pvalue,all_9_months_mwu_stat,all_9_months_pvalue,all_9_months_c_pvalue,all_1_year_mwu_stat,all_1_year_pvalue,all_1_year_c_pvalue,new_7_days_mwu_stat,new_7_days_pvalue,new_7_days_c_pvalue,new_14_days_mwu_stat,new_14_days_pvalue,new_14_days_c_pvalue,new_21_days_mwu_stat,new_21_days_pvalue,new_21_days_c_pvalue,new_28_days_mwu_stat,new_28_days_pvalue,new_28_days_c_pvalue,new_3_months_mwu_stat,new_3_months_pvalue,new_3_months_c_pvalue,new_6_months_mwu_stat,new_6_months_pvalue,new_6_months_c_pvalue,new_9_months_mwu_stat,new_9_months_pvalue,new_9_months_c_pvalue,new_1_year_mwu_stat,new_1_year_pvalue,new_1_year_c_pvalue
circulatory system,Rheumatic disease of the heart valves,394.0,1325403.0,0.2687078401124472,0.3205580179982228,2611747.5,0.0012709601705619,0.003007638606932561,3908190.5,0.0016054410549565,0.0035944830699470034,5457954.5,0.0039100665874536,0.008098854825744035,12855630.5,8.598748068571041e-05,0.00020338591322008215,18335482.5,2.888396192318677e-05,6.918870879071406e-05,20004343.0,9.776050664083535e-06,2.4370297726893963e-05,20933816.0,4.736824195409583e-06,1.2066800322612733e-05,354536.5,0.2629582461577625,0.3301659458684072,541992.0,0.0147848688227428,0.03221827423731502,646061.5,0.0144489306047136,0.030427013692431507,734649.0,0.0150617955560162,0.03120397307174683,2010075.0,0.0662361603078103,0.1040114704833584,2620263.0,0.0231029685383968,0.04223707268050496,3140252.5,0.0495942529116401,0.08069976833782083,3181169.5,0.049784908147418,0.08065313418476786
circulatory system,Mitral valve disease,394.2,38877017.5,6.641734687750141e-31,7.680970821245163e-30,88171578.0,1.1281548300626512e-54,1.5260580876928565e-53,135656086.5,2.1514559473626448e-65,3.0592916523184336e-64,178838809.0,9.432036294964273e-73,1.3510395650674177e-71,386658986.5,1.3914545996204298e-130,2.443299941028416e-129,518109995.0,3.580913487965029e-161,6.6630568829635e-160,575132348.0,4.087338701399495e-177,8.074421925217492e-176,595293386.0,4.548422981454446e-180,8.985280870910953e-179,15630293.5,7.555847369479549e-14,6.964845446520256e-13,34789509.5,2.5284697425206985e-17,2.112921237010775e-16,53133181.5,1.731895636446825e-19,1.45568814270315e-18,71412882.0,5.920310311587893e-20,4.926902310151958e-19,143632789.5,2.773211946240856e-27,2.4026534534241898e-26,177876996.5,7.632361891801087e-29,6.65199816604388e-28,190286723.5,1.847110196663869e-30,1.6334878869627433e-29,194099738.5,3.673468424450301e-30,3.255012456099875e-29
circulatory system,Aortic valve disease,394.3,19919434.5,4.976238013129458e-20,4.216932730091601e-19,44215815.5,2.3010435104897104e-33,2.15265846168243e-32,67030528.5,1.5447993702604443e-35,1.359423445829191e-34,85374752.0,2.1450739135818123e-41,1.9653515046060393e-40,193790965.0,1.043861553386732e-70,1.1265005930298483e-69,268408732.5,4.733670414800248e-85,5.420312716727317e-84,302269494.0,6.6961137183901175e-90,7.789812292393836e-89,316355475.5,6.212408280599914e-91,7.308305022233833e-90,6480787.0,1.401970496974731e-12,1.1349865501595431e-11,14994832.5,1.9290891385222357e-19,1.7325744505793161e-18,22190064.5,2.1504493485294476e-20,1.8720429596573313e-19,28084790.5,2.0629629279884591e-22,1.8250717074636637e-21,59066027.5,4.403559774126925e-30,4.0601629110069356e-29,72983904.0,4.342848476369602e-33,4.103382999635204e-32,79617482.5,8.299371038337437e-34,7.888280697186144e-33,82650580.0,5.6493213696949715e-34,5.3800546502048374e-33
circulatory system,Acute rheumatic heart disease,394.4,1392421.0,0.0178206207210135,0.035750347283176075,2578954.0,0.0113028891638051,0.022315960656743537,4121225.5,0.005668970507882,0.011613356586997236,5379038.0,0.0026698298001323,0.0057404162933077825,10224759.5,6.140241706535337e-05,0.00014725209277709743,12646874.5,1.2690031502302867e-05,3.178608852259517e-05,13744004.5,2.4364821822338723e-05,5.7325771793232904e-05,13961500.0,1.3195699349866432e-05,3.2355731192763825e-05,745101.5,0.2489833192168724,0.31710461038427934,1413905.0,0.4170555972795878,0.44042904284141093,2015124.0,0.4635041376139496,0.47420412819895164,2392558.0,0.4106545007553826,0.43455034454933805,4257654.5,0.347371162623401,0.3882321840455347,5092259.5,0.4145511088036157,0.4383260579739988,5278292.0,0.4146839978719379,0.4397775071649125,5343638.0,0.4137959900675018,0.43922797211051634
circulatory system,Disease of tricuspid valve,394.7,10148960.5,0.0085752853367317,0.01898537271623257,24832450.0,0.0019134058052562,0.004433609284864606,42101413.0,0.0135667756697641,0.025759056243529668,60802498.5,0.0601983646938625,0.09151231224762066,125208482.0,0.007645301631923,0.014118596240057608,160644903.0,0.0038809548733353,0.007379479886889488,171221568.5,0.0013737348935477,0.0027820124439932245,176405406.0,0.0024425150212799,0.0047622220247302725,5672036.0,0.3524204063097099,0.40129811882719946,13715329.0,0.2200612256287496,0.2797339124725243,23816174.5,0.3119942417511295,0.35661709930521834,33482840.0,0.3779221694256309,0.410985127769623,68951948.0,0.4651600646195745,0.475087261120602,83849123.5,0.3307866923614484,0.3679724114503821,89039476.0,0.3771440821554617,0.40934421723810527,90647939.5,0.3375041794753395,0.373822564005838
circulatory system,Heart valve disorders,395.0,284021.0,0.2801265567697627,0.3312128758696528,605142.5,0.4808345905783965,0.4851970011784022,724841.5,0.4832210920033524,0.4870714592703114,815534.0,0.4760524584668488,0.4812578034401444,1161246.0,0.2757025003527077,0.3159599450944748,1376232.5,0.1626116796070508,0.20123678165148093,1426659.0,0.1627437826039627,0.20184225258492472,1445026.0,0.1629173589228376,0.20234220022800828,153759.0,0.4053091753192221,0.43610603033785406,220877.0,0.4056996668715921,0.43223656304168523,264543.0,0.4069037722324389,0.43029411922627764,300136.5,0.4100898082217261,0.4344209187418932,424378.0,0.1327524305964707,0.18555798713414895,554619.5,0.0612591365379446,0.09692173245674805,575589.5,0.0615543023340208,0.09675537167496018,583210.0,0.0616843240768722,0.09715042694641852
circulatory system,Nonrheumatic mitral valve disorders,395.1,33701834.0,1.6350220242096125e-30,1.847386953790861e-29,76859445.5,5.400158083321856e-52,6.930202873596382e-51,119423830.5,3.334485210069996e-62,4.382466276091994e-61,158544808.5,3.0255762892085e-67,3.846263857656306e-66,347368134.5,5.411462013275819e-121,9.1906141733668e-120,465167154.5,4.7054130390618205e-149,8.310237943563416e-148,517532615.5,2.784597080788888e-163,5.114865164185903e-162,534683581.5,2.4660808743750507e-166,4.529801185036277e-165,14909324.0,3.741750589044285e-14,3.518757372121444e-13,33427500.5,6.603915897470736e-17,5.471002739197739e-16,50992754.5,1.1374689432943541e-18,9.478907860786284e-18,68671934.0,8.548401026197632e-19,6.937627940269482e-18,138461407.5,2.665362027014984e-28,2.329294641000051e-27,172139151.0,2.1758457487314168e-29,1.9296316245328618e-28,184624688.0,5.765145604603619e-31,5.234958107037393e-30,188414877.0,1.3160894643626377e-30,1.1763992668294104e-29
circulatory system,Nonrheumatic aortic valve disorders,395.2,4681792.5,1.0357221069438738e-07,4.5049328810877345e-07,10120330.5,7.048258203515007e-13,3.5276532308592604e-12,16063736.5,2.133901911479252e-13,9.951653153995405e-13,20795015.0,3.337708144293677e-15,1.6477908654110043e-14,46096926.0,1.1329068599754907e-24,6.3101693921215515e-24,65331858.0,1.96865458699298e-27,1.0911372764078112e-26,74533494.0,2.261346377121116e-27,1.2461208720241096e-26,78147236.0,2.2482300809843087e-27,1.232406751199252e-26,1000580.0,9.054026483614052e-05,0.0003814162287893522,2301125.0,1.4136041458377582e-06,6.438263431990927e-06,3832829.5,6.427584815023605e-06,2.4967709938836712e-05,4989630.0,8.947344217843159e-07,3.707296211781427e-06,10216264.0,4.89194543160901e-10,2.2867000738451425e-09,12814787.5,1.0330181013226687e-10,4.880286450641206e-10,14251076.0,2.0479960279854478e-10,9.215982125934515e-10,15249854.5,4.719245329548322e-10,2.0376741486481955e-09
circulatory system,Nonrheumatic tricuspid valve disorders,395.3,4417378.0,7.88195645465865e-25,7.44996461050909e-24,12012290.0,8.737567427628227e-44,9.718116661173173e-43,19184793.5,3.2368746248020204e-58,3.946647132891137e-57,26776424.0,6.585429354984233e-66,8.069134522914417e-65,62994568.5,1.2199666674196482e-100,1.7313499554065144e-99,89815062.0,1.906993698117256e-117,2.838696333483115e-116,97832395.5,4.6299110428761184e-126,7.344722518017115e-125,100619911.5,4.755252718675044e-130,7.543559994625411e-129,2048646.5,1.0037326103629156e-11,7.787292168732286e-11,5617988.0,4.783058741127457e-19,4.256036527984708e-18,9185279.5,7.838436510769573e-24,7.278548188571746e-23,12684217.0,1.2271552318673664e-28,1.2423365337049012e-27,26481956.0,4.5022446082852175e-37,4.713287324298587e-36,35091956.5,5.732183965839405e-41,6.036706239024623e-40,37573588.5,2.8598199650233288e-42,3.0296217754465893e-41,38098922.5,1.2359325863259579e-42,1.3257003215433172e-41
circulatory system,Nonrheumatic pulmonary valve disorders,395.4,4143972.5,0.0427122345404221,0.07525785475945622,9188409.0,0.1661521289831201,0.21547256853447927,13550042.5,0.2131799643116318,0.2550096026990206,18210151.0,0.2071347374520386,0.24988852667701458,41465415.0,0.1134572904419802,0.1534487635742709,52889441.0,0.028717185884036,0.04513319410432209,59351807.0,0.0727877637166554,0.10229367598837347,62652773.0,0.1067116389371489,0.14360807964935085,2355900.5,0.3964359218948181,0.4296645439861183,4165749.0,0.3563754120899226,0.39915707577903925,5613092.5,0.3072436470844086,0.35284164417820785,7222797.0,0.2691829420212653,0.31886326787078717,14217170.0,0.3119572688094292,0.3587151660794925,17928415.5,0.4540657800886856,0.46747505465342276,18580150.0,0.4537026764909344,0.4682838448299759,18844243.5,0.3845875252640614,0.41295541437732197
