category,phenotype,phe_code,all_1_year_cases,all_1_year_noncases,all_1_year_hazards ratio,all_1_year_95% confidence interval (lower),all_1_year_95% confidence interval (upper),all_1_year_pvalue,new_1_year_cases,new_1_year_noncases,new_1_year_hazards ratio,new_1_year_95% confidence interval (lower),new_1_year_95% confidence interval (upper),new_1_year_pvalue
circulatory system,Rheumatic disease of the heart valves,394.0,553.0,525181.0,4.15836529012179,2.037119525962772,8.488457189529528,9.066620925309261e-05,16.0,521351.0,5.069646590679591,0.8065409295507138,31.86610327228676,0.08349984858622923
circulatory system,Mitral valve disease,394.2,20638.0,522069.0,5.432943129789874,4.771864877329058,6.185604959554593,3.524180867948502e-144,1005.0,486816.0,3.627389443779392,2.8760290744756767,4.575042127917628,1.4246534971833663e-27
circulatory system,Aortic valve disease,394.3,9337.0,523600.0,4.995710237002395,4.17706505446734,5.974798200808264,1.8550175829189592e-69,479.0,506457.0,7.542338454099906,5.380195548772685,10.573383223806992,9.69906235226898e-32
circulatory system,Acute rheumatic heart disease,394.4,685.0,525213.0,5.991029578221059,2.539332344398548,14.13459545234158,4.3539807469592374e-05,21.0,523249.0,0.8047709096133705,0.147855475026012,4.380333003197822,0.8016203604273042
circulatory system,Disease of tricuspid valve,394.7,6255.0,524571.0,1.4180030016685978,1.07025560481684,1.8787404650735409,0.014976210178868209,354.0,518800.0,0.923982549009876,0.6138887343500187,1.3907141524249116,0.7046996132263819
circulatory system,Heart valve disorders,395.0,50.0,525280.0,6.024636247504465,0.3680213808322223,98.6253620174634,0.20798939916364456,< 10,524433.0,35.10604447908459,0.62900254686956,1959.3471681491344,0.08291159042961099
circulatory system,Nonrheumatic mitral valve disorders,395.1,17365.0,522385.0,5.483410448127735,4.783085392637897,6.28627500335173,1.3618348897930543e-131,978.0,488358.0,3.6509812675960944,2.885634150921502,4.619318846112517,3.8764141780591846e-27
circulatory system,Nonrheumatic aortic valve disorders,395.2,2508.0,524861.0,5.151229620864601,3.607618496185081,7.35531393769402,1.8794289440111488e-19,93.0,517004.0,8.769604747333618,4.05579442365697,18.961998412905967,3.416808881593338e-08
circulatory system,Nonrheumatic tricuspid valve disorders,395.3,4327.0,524515.0,25.363549794964264,19.121758699565923,33.642808086278976,1.8512191612928074e-111,283.0,505354.0,23.286693001514,14.668797240467512,36.967589234294856,1.1877124151845977e-40
circulatory system,Nonrheumatic pulmonary valve disorders,395.4,1387.0,525037.0,1.1661997739123628,0.7220744113820612,1.883492741516964,0.5295992549256936,75.0,512522.0,0.8715980860874447,0.3574860825562669,2.1250707670604925,0.7624812871058384
circulatory system,Heart valve replaced,395.6,19938.0,522750.0,4.795095094161013,4.14297720777683,5.549858425213325,4.464263829928066e-98,781.0,508659.0,2.3779054098711208,1.822645765259694,3.102322045276136,1.7227775406297366e-10
circulatory system,Abnormal heart sounds,396.0,4605.0,524312.0,2.307902391353552,1.8215948001880025,2.924038566351704,4.288143260484727e-12,519.0,493418.0,1.8207542151046212,1.3129918956212543,2.5248791884222967,0.00032763809808158625
circulatory system,Essential hypertension,401.1,219991.0,504454.0,46.413493690138345,43.83877964794192,49.13942435953836, < 2.225E-308,3118.0,295266.0,87.26605258680785,75.33288822088686,101.08949907448353, < 2.225E-308
circulatory system,Hypertensive heart and/or renal disease,401.2,404.0,525241.0,104.65682253925824,28.0406697114687,390.6130137660002,4.4844513825031295e-12,10.0,504854.0,42.09902580748997,3.227791878844998,549.0837205321612,0.004314102676823431
circulatory system,Hypertensive heart disease,401.21,2984.0,524562.0,31.93547737881304,23.73867874374418,42.96257287198199,6.160762898543978e-116,112.0,490479.0,31.96883260054629,15.125780638683034,67.56717436639586,1.1447097241275893e-19
circulatory system,Hypertensive chronic kidney disease,401.22,5141.0,524857.0,64.81945288590602,43.02243517143384,97.65977810614392,1.5730113895878874e-88,79.0,479908.0,91.25545805949216,34.69891763727667,239.99476619701605,5.748964673856024e-20
circulatory system,Other hypertensive complications,401.3,13676.0,524406.0,37.68104553205593,28.68750905012844,49.49405645181018,5.521846619727177e-150,330.0,508247.0,33.575499593606125,21.635924324672423,52.10381382572677,2.351720833448074e-55
circulatory system,Elevated blood pressure reading without diagnosis of hypertension,402.0,2463.0,524806.0,5.172034109100641,3.697399920433332,7.234796722385768,8.316191519809945e-22,481.0,524806.0,5.172034109100641,3.697399920433332,7.234796722385768,8.316191519809945e-22
circulatory system,Unstable angina (intermediate coronary syndrome),411.1,2587.0,524940.0,12.074447925315685,8.058441488634385,18.091872095464797,1.4460860282228164e-33,177.0,498296.0,13.672344922410668,7.751256960662759,24.116477704976685,1.680227568674543e-19
circulatory system,Myocardial infarction,411.2,11402.0,523983.0,70.02328891273359,55.23122935519373,88.77696635400123,8.614841057662125e-270,612.0,488569.0,88.55548080529483,62.3849902057904,125.70448684512355,7.064591111662396e-139
circulatory system,Angina pectoris,411.3,4280.0,524378.0,16.90599101768446,13.1185059386876,21.78697281731923,7.771463494422326e-106,252.0,493776.0,7.299943362620994,4.588029375623918,11.614828226819624,4.888493862186223e-17
circulatory system,Coronary atherosclerosis,411.4,9914.0,523512.0,23.8505983739214,19.811373256239,28.71335749605139,4.322656629038744e-246,869.0,475015.0,20.68360330888584,15.939100236567704,26.84037614983199,6.234586980015247e-115
circulatory system,Aneurysm and dissection of heart,411.41,1521.0,524901.0,4.271966565715289,2.9423009644081604,6.202526036373774,2.3029871315429515e-14,110.0,515072.0,2.8969806766238797,1.4346364076018572,5.8499122120852025,0.0030117887782843598
circulatory system,"Other chronic ischemic heart disease, unspecified",411.8,15580.0,523604.0,46.7149911136005,38.20751284624205,57.11678756808729,2.1356525169293345e-307,324.0,481851.0,54.63887415242109,34.52658208409205,86.46690139710124,1.9904275552372113e-65
circulatory system,Other acute and subacute forms of ischemic heart disease,411.9,659.0,525137.0,6.876518183247099,3.759584943186861,12.577585834367389,3.881849985793166e-10,71.0,519750.0,42.14738117856755,16.002582425918295,111.0071920226046,3.684907016487622e-14
circulatory system,Other forms of chronic heart disease,414.0,11885.0,523774.0,43.65216324940943,35.35877170184285,53.890767824770855,2.6814964063216536e-270,747.0,481902.0,48.72389024845653,36.11050547479211,65.7431251578819,1.3590356842853445e-142
circulatory system,Pulmonary heart disease,415.0,211.0,525253.0,19.8630972067796,5.276376963709941,74.77529247049165,9.911265919286532e-06,20.0,508898.0,30.87655891280836,5.2216694922422535,182.57798424670864,0.00015509006609554406
circulatory system,Chronic pulmonary heart disease,415.2,21.0,525281.0,37.4320903142075,1.3904251338675857,1007.7215602349892,0.03107199629040063,< 10,519384.0,144.50889977169737,0.0144521470804729,1444963.2983214157,0.2899009645343682
circulatory system,Primary pulmonary hypertension,415.21,7780.0,524617.0,3.3105377687092874,2.4912896372038382,4.39919154898084,1.5500392717453326e-16,160.0,503471.0,1.6616370761524542,0.9145423444759307,3.0190376525721847,0.09556354696466873
circulatory system,Cardiomegaly,416.0,3647.0,524848.0,17.81731390865179,12.352423912849652,25.69994983650141,1.3982852773326767e-53,188.0,468727.0,16.531889051973586,9.496215689961865,28.780238839316176,3.492125408741383e-23
circulatory system,Precordial pain,418.1,996.0,525119.0,44.3473151555613,23.544816478241597,83.52939863957505,8.076422015012878e-32,77.0,472546.0,49.22836545455085,19.38235579711157,125.03289025826074,2.5436384919965235e-16
circulatory system,Myocarditis,420.1,2517.0,525069.0,89.43529518934425,49.35740443784862,162.05617205169602,1.1520150774550972e-49,85.0,521640.0,133.6092716250472,49.54071154389816,360.3387377340641,4.0430344696778965e-22
circulatory system,Pericarditis,420.2,14181.0,524149.0,12.46198766390632,9.963508637632923,15.586992713467344,3.350654278970063e-108,581.0,496196.0,13.19983771725295,9.650468291248028,18.054638438616216,1.198495092386642e-58
circulatory system,Acute pericarditis,420.21,956.0,525195.0,7.7527481326749665,3.573092484379268,16.821591904340778,2.194593044263803e-07,44.0,519774.0,14.2407203805979,4.536079907464063,44.70779199120249,5.353936407182699e-06
circulatory system,Chronic pericarditis,420.22,395.0,525239.0,5.232869215881008,1.8048638540957889,15.171737285543662,0.0023098789540819823,17.0,509341.0,1.894691668172633,0.3068898628432002,11.697540232135228,0.4914025802277023
circulatory system,Endocarditis,420.3,3320.0,524966.0,21.5350811694651,13.957879081188027,33.22565830223379,9.05885536120009e-44,157.0,511182.0,27.3170211569263,14.567103171762662,51.2263581914114,6.324163108000848e-25
circulatory system,Cardiomyopathy,425.0,2469.0,525188.0,18.08093308572388,8.351732544442472,39.14399072417235,2.0452694388868585e-13,45.0,515773.0,6.019772797612248,1.997817124539673,18.138629451993555,0.0014241552311730638
circulatory system,Primary/intrinsic cardiomyopathies,425.1,47668.0,520972.0,18.27698254738762,16.257518027910255,20.54729943796041, < 2.225E-308,938.0,490616.0,16.470203574379983,12.854286760541449,21.10327946115408,9.975684018608383e-109
circulatory system,Hypertrophic obstructive cardiomyopathy,425.11,2265.0,524986.0,8.515516183498166,5.544863605740194,13.077691540753262,1.30334120124912e-22,56.0,521809.0,4.519305138796669,1.6862126718949937,12.112421687948189,0.0027114342969026565
circulatory system,Other hypertrophic cardiomyopathy,425.12,4589.0,524737.0,9.137779856324777,6.65083533175224,12.554666675329644,2.019231000531016e-42,106.0,520758.0,4.271133545881054,2.0893915782164902,8.731049726122846,6.895347173983139e-05
circulatory system,Secondary/extrinsic cardiomyopathies,425.2,4685.0,524974.0,5.040134951940206,3.322560757384407,7.645596932218953,2.789962187360236e-14,118.0,515700.0,1.660461332019562,0.831543971948401,3.315677737007591,0.15067374762794206
circulatory system,Other cardiomyopathy,425.8,18.0,525278.0,162.52391670200765,7.00737526415796,3769.460390578232,0.0015048290385359876,< 10,524396.0,146.9685355257386,0.0140775257673617,1534342.8093492498,0.29052091339937963
circulatory system,Cardiac conduction disorders,426.0,16742.0,524025.0,0.2151351201433277,0.1691263580017231,0.2736600046612044,6.1480361141113e-36,583.0,517380.0,0.2023359536009359,0.1417509347180092,0.2888152956525003,1.3636666681211559e-18
circulatory system,First degree AV block,426.21,934.0,525131.0,4.964532590312195,2.753001787630151,8.952621807589987,1.002746371183297e-07,63.0,514654.0,6.758588830276054,2.6623994020095623,17.15690100525653,5.815847186198754e-05
circulatory system,Second degree AV block,426.23,4086.0,524770.0,0.6569699100058244,0.4653975741460095,0.9273994679603804,0.016918903277278186,157.0,518831.0,0.746384724427332,0.4010904249661602,1.388939057583999,0.355936734431774
circulatory system,"Atrioventricular block, complete",426.24,11328.0,523793.0,0.5106850711147027,0.415470498176278,0.6277202424822369,1.7352923659559167e-10,353.0,513955.0,0.8263648259868613,0.5475081157644588,1.2472487730612454,0.36385795728249604
circulatory system,Other heart block,426.25,474.0,525220.0,2.798288439144714,1.132568931439883,6.913855723285483,0.025766530466324183,31.0,523417.0,9.874295196646184,2.5766374108263124,37.84067762923681,0.0008353890112935616
circulatory system,Bundle branch block,426.3,635.0,525145.0,7.141247649814299,3.845287118733245,13.262317330618046,4.837963071626277e-10,46.0,520897.0,9.118221046956537,3.043924627035529,27.3140649813438,7.862663593627039e-05
