covariate,411.2_all_hazards ratio,411.2_all_95% confidence interval (lower),411.2_all_95% confidence interval (upper),411.2_all_pvalue,411.2_new_hazards ratio,411.2_new_95% confidence interval (lower),411.2_new_95% confidence interval (upper),411.2_new_pvalue,591_all_hazards ratio,591_all_95% confidence interval (lower),591_all_95% confidence interval (upper),591_all_pvalue,591_new_hazards ratio,591_new_95% confidence interval (lower),591_new_95% confidence interval (upper),591_new_pvalue,585.1_all_hazards ratio,585.1_all_95% confidence interval (lower),585.1_all_95% confidence interval (upper),585.1_all_pvalue,585.1_new_hazards ratio,585.1_new_95% confidence interval (lower),585.1_new_95% confidence interval (upper),585.1_new_pvalue,250.2_all_hazards ratio,250.2_all_95% confidence interval (lower),250.2_all_95% confidence interval (upper),250.2_all_pvalue,250.2_new_hazards ratio,250.2_new_95% confidence interval (lower),250.2_new_95% confidence interval (upper),250.2_new_pvalue,282.5_all_hazards ratio,282.5_all_95% confidence interval (lower),282.5_all_95% confidence interval (upper),282.5_all_pvalue,282.5_new_hazards ratio,282.5_new_95% confidence interval (lower),282.5_new_95% confidence interval (upper),282.5_new_pvalue
age_adol,0.22484643255981,0.0810215720755414,0.6239809588949566,0.0041621493756348,0.2331195539441813,0.0548514547532439,0.9907618070589118,0.0485484551904787,0.4747958046754131,0.3397827218335545,0.6634565022049661,1.2802222751140682e-05,0.3591448735039976,0.2213639147522753,0.5826832268870359,3.360903687174788e-05,2.9161796798177058,2.0297467642588813,4.1897364118162725,7.0832687367739e-09,3.751540508420788,2.347224854307789,5.996040882275265,3.2731195877272424e-08,7.519614777333979,3.060597170254744,18.475024073420663,1.0876527259716055e-05,5.709237171571331,1.426141419301577,22.855649965776,0.013834455138948,1.0722340945524305,0.9404728995138752,1.2224551649653448,0.2971544440512673,0.0931191618085491,0.0342561486511835,0.2531276467831175,3.277035749484117e-06
age_adult,1.0329540827149033,0.7547706708727115,1.4136666648210694,0.8395005024748434,1.478685332624988,0.941324391276714,2.3228021425799006,0.089593741901776,0.6112509572920097,0.5161654366800442,0.7238526763697258,1.1559920795097982e-08,0.4837227156985154,0.3890901252072725,0.6013713803661788,6.218843931756569e-11,2.957952292795268,2.241820339063493,3.9028469917923143,1.7501088803818608e-14,3.009818414359169,2.076283491334252,4.363087663714979,6.011500248402522e-09,15.612693467718035,6.987490605453292,34.88465474668248,2.091381563541476e-11,24.267979916156136,7.765066954125976,75.84414309499631,4.1274678083993555e-08,0.3878418041600361,0.3457967864815612,0.4349990252501454,7.17916238055878e-59,0.1313449570633427,0.0975122050617396,0.1769162920174823,1.0680967248226658e-40
age_senior,2.1388611919351392,1.55890325546797,2.93458056638217,2.4626783886703665e-06,3.9242909590185047,2.503460943894723,6.151507803064008,2.503699686464037e-09,0.7163673634219849,0.5982314926774104,0.8578321363179956,0.0002859406126607,0.7403616669292588,0.5900813141680382,0.9289150235694084,0.0094049037739648,4.355203170262284,3.290505970004738,5.764400620198642,8.040901153020943e-25,5.585131559561139,3.850455155188955,8.101300568471382,1.2483340164290793e-19,18.89206625796213,8.447055963778881,42.25261073510915,8.32219014234569e-13,51.51545993062594,16.481510612100298,161.019379492772,1.2078416799237684e-11,0.0575203281655235,0.0458785550116103,0.0721162240491713,3.1256046728705325e-135,0.01325946793126,0.0048554129730402,0.0362097911745756,3.3386556537418694e-17
sex_1,0.5591068011077867,0.4937901905791405,0.633063234160949,4.6030806902046014e-20,0.6604176722388876,0.5571419623599235,0.7828372861343897,1.7373848313650344e-06,1.3184590197324737,1.203432046378856,1.4444805520549229,2.92366002504299e-09,1.5355476570548818,1.3456534209634508,1.7522391504036314,1.9169603357158183e-10,0.6349118727667399,0.5869264188975901,0.686820482433431,9.370440057613332e-30,0.5905070713324536,0.5294820972418839,0.6585654229104844,2.937193181094613e-21,1.0609686236453917,0.9943742480187342,1.1320229004349571,0.0735523484489349,0.875520311028925,0.7629523383826585,1.00469685517856,0.0583272881547458,0.765005212166355,0.704380751932308,0.8308474827516745,2.0309058960585476e-10,0.8150631426053287,0.6190717202899048,1.0731033330396302,0.1450635345878433
AMERICAN INDIAN OR ALASKA,3.9242002340516526,2.3443341331235112,6.568751126109091,1.977306120691351e-07,0.4928887756795866,0.0691334882999266,3.5140617255845825,0.4802316219309805,0.8001236167466012,0.3802407531341363,1.6836643542251275,0.5568922835310319,1.1768118090210369,0.4393891331370236,3.151844070343652,0.7460135717131169,1.142744364208422,0.5928572491992642,2.202662923821648,0.6902460325890438,0.7956313201483437,0.2560011226611799,2.4727594591013444,0.69272973840495,1.1787279854882282,0.7399163100003704,1.8777794799150205,0.4888621031378827,0.3893751500196716,0.054739235968838,2.7697318891910028,0.3460640433882186,7.374043008670634e-07,0.0,inf,0.9717949141071084,±,±,±,±
ASIAN,0.3417576264981861,0.1962966151090164,0.5950091151842223,0.000147547114789,0.3087543200153428,0.145042003247186,0.6572525750742224,0.0022982714173474,0.9834330278389434,0.753202211690717,1.284038343532644,0.9022953246879926,1.0775523573489063,0.7376936992984977,1.573985359956767,0.6992401219520459,1.6004575259404377,1.3266906617194123,1.930717058805319,8.954140264419448e-07,1.039449732453838,0.7518031395482482,1.4371524797669657,0.8149265509330051,0.8680579230950316,0.7236791343600445,1.0412412380998213,0.1273750816509742,0.8433917155045065,0.5745730768329582,1.2379793179700775,0.3844160941692107,0.6535372867913203,0.4401101227215578,0.9704638979566904,0.0349802322544685,±,±,±,±
BLACK OR AFRICAN AMERICAN,0.7716156940369518,0.6457646379438945,0.9219934699116428,0.0043173910247957,0.693804518038465,0.5386380789104718,0.8936700320635805,0.0046496262831218,1.0356714600735244,0.9144596494941494,1.172949920539592,0.5810133757449933,1.0662874332784913,0.88550564377845,1.2839770117287903,0.4983254004048829,1.2636240608592326,1.1368328911295718,1.404556271762889,1.4434183167466942e-05,1.3075936718632142,1.1263375440051648,1.5180184837103174,0.0004272595792837,0.722323295864888,0.6595871302027723,0.7910265677693199,2.2693001005843115e-12,0.9150302045873532,0.7515984246321755,1.1139995080709886,0.3763946364640929,3.701779618940337,3.361978015098989,4.075925626419836,2.200646462450365e-156,13.887494544281228,9.90160167979075,19.477909832615747,1.8280573820238007e-52
NAT.HAWAIIAN/OTH.PACIFIC ,1.33304079360272,0.3322193849993252,5.34886836122636,0.6851070269005765,1.2675336412647922,0.1775601055741779,9.0484375786023,0.813119998237664,0.7416670105277174,0.1849982215813252,2.9733796887518205,0.6731432931062362,±,±,±,±,0.5876937217553524,0.1466654065263357,2.3549105325572413,0.4529169786606996,0.4760782378163446,0.0668447623882519,3.3906992922776875,0.458726043909228,1.004032182687009,0.4501952076829513,2.239207807341159,0.992154515422224,±,±,±,±,1.307646318463261e-06,0.0,inf,0.9862550939776464,±,±,±,±
WHITE,0.7861153752567855,0.6900436657997798,0.89556272138063,0.0002962983920152,0.6345120789329792,0.5257318002639064,0.7658003151221815,2.128401443882144e-06,1.0812876652027172,0.9804715766468094,1.192470075387726,0.1175754143927988,0.936972983815996,0.8090898159577179,1.085069117279471,0.384570265685367,1.01498701136646,0.9263775673971992,1.1120720853993913,0.7495964596562004,0.9558306853615756,0.8435709243179234,1.0830296217445958,0.478522312750534,0.8514648420375747,0.7930613417553142,0.914169357469143,9.19770409718338e-06,0.5850676635331683,0.4985179550105309,0.6866436152834848,5.287247307594864e-11,0.5317766044585469,0.4714577133935558,0.5998127700869792,8.57723321434346e-25,0.2453339425079495,0.1248808493160968,0.4819693626053491,4.533729125414692e-05
HISPANIC OR LATINO OR SPANISH ORIGIN,0.7869493258583126,0.6834109610859325,0.9061739959289048,0.0008720961694819,0.7136163655530743,0.5810159544139839,0.8764790593380689,0.0012953642872024,1.0249798647436392,0.9295398571541874,1.1302191240580914,0.6207623283163908,1.1755403357476926,1.0137623409415482,1.3631351502822058,0.0322818365944866,0.7865619029879669,0.7172237225878447,0.8626034077620414,3.414215757060526e-07,0.839942876642064,0.7372038972853739,0.9569998729247666,0.0087870710708805,0.6908281949532835,0.641846632971412,0.7435477112858337,6.376608963031859e-23,0.8753595203755548,0.7391546944173136,1.0366629552642843,0.1229055171257358,1.2244910245267335,1.120477614986191,1.3381599499111885,7.764773008570254e-06,0.7928511130595296,0.566664819250649,1.109320476804975,0.1755636147056701
